key	value
GAME_LOADING	加载中……
EXP_COUNTER_MAX	MAX
MAIN_MENU_BUTTON_SINGLEPLAY	单人游戏
MAIN_MENU_BUTTON_SINGLEPLAY_TOOLTIP	开始一局单人游戏
MAIN_MENU_BUTTON_MULTIPLAY	多人游戏
MAIN_MENU_BUTTON_MULTIPLAY_TOOLTIP	开始一局联机游戏
MAIN_MENU_BUTTON_MULTIPLAY_DISABLED_TOOLTIP	多人游戏在 Demo 中不可用
MAIN_MENU_BUTTON_SETTINGS	设置
MAIN_MENU_BUTTON_SETTINGS_TOOLTIP	修改游戏设置
MAIN_MENU_BUTTON_QUIT	退出
MAIN_MENU_BUTTON_QUIT_TOOLTIP	结束游戏
CHARACTER_SELECT_HEADER	角色选择
CHARACTER_SELECT_HEADER_GAME_MODE_SINGLEPLAYER	单人游戏
CHARACTER_SELECT_HEADER_GAME_MODE_HOST_MULTIPLAYER_PUBLIC	主持游戏（公开）
CHARACTER_SELECT_HEADER_GAME_MODE_HOST_MULTIPLAYER_FRIENDS	主持游戏（仅好友）
CHARACTER_SELECT_HEADER_GAME_MODE_HOST_MULTIPLAYER_PRIVATE	主持游戏（私人）
CHARACTER_SELECT_HEADER_GAME_MODE_JOIN_MULTIPLAYER	加入游戏
CHARACTER_SELECT_HEADER_GAME_MODE_LOBBY_QUERY	查询大厅
CHARACTER_SELECT_BUTTON_CREATE_CHARACTER	建立角色
CHARACTER_SELECT_BUTTON_DELETE_CHARACTER	删除角色
CHARACTER_SELECT_BUTTON_SELECT_CHARACTER	选择角色
CHARACTER_SELECT_BUTTON_RETURN	返回
CHARACTER_SELECT_DATA_ENTRY_EMPTY_SLOT	空槽
FORMAT_CHARACTER_SELECT_DATA_ENTRY_INFO	Lv-{0} {1} {2}
CHARACTER_SELECT_CHARACTER_DELETE_PROMPT_TEXT	输入角色名称来确认操作。
CHARACTER_SELECT_CHARACTER_DELETE_PROMPT_PLACEHOLDER_TEXT	输入昵称……
CHARACTER_SELECT_CHARACTER_DELETE_BUTTON_CONFIRM	删除角色
CHARACTER_SELECT_CHARACTER_DELETE_BUTTON_RETURN	返回
CHARACTER_CREATION_HEADER	角色创建
CHARACTER_CREATION_HEADER_RACE_NAME	种族选择
CHARACTER_CREATION_RACE_DESCRIPTOR_HEADER_INITIAL_SKILL	天赋技能
CHARACTER_CREATION_BUTTON_SET_TO_DEFAULTS	默认
CHARACTER_CREATION_CHARACTER_NAME_PLACEHOLDER_TEXT	输入名字…
CHARACTER_CREATION_BUTTON_CREATE_CHARACTER	建立角色
CHARACTER_CREATION_BUTTON_RETURN	返回
CHARACTER_CREATION_CUSTOMIZER_HEADER_COLOR	颜色
CHARACTER_CREATION_CUSTOMIZER_COLOR_BODY_HEADER	身体
